ln_fn_by,ln_fn_dob,patient_last_name,patient_first_name,patient_dob,patient_birth_year,estimated_dob,estimated_birth_year,combined_dob,combined_birth_year
1961,1961-02-10,NULL,NULL,NULL,NULL,1961-02-10,1961,1961-02-10,1961
1971,1971-02-03,NULL,NULL,NULL,NULL,1971-02-03,1971,1971-02-03,1971
1980,1980-11-14,NULL,NULL,NULL,NULL,1980-11-14,1980,1980-11-14,1980
1981,1981-04-05,NULL,NULL,NULL,NULL,1981-04-05,1981,1981-04-05,1981
1981,1981-04-21,NULL,NULL,NULL,NULL,1981-04-21,1981,1981-04-21,1981
1981,1981-05-20,NULL,NULL,NULL,NULL,1981-05-20,1981,1981-05-20,1981
1987,1987-02-05,NULL,NULL,NULL,NULL,1987-02-05,1987,1987-02-05,1987
1990,1990-12-07,NULL,NULL,NULL,NULL,1990-12-07,1990,1990-12-07,1990
1993,1993-05-04,NULL,NULL,NULL,NULL,1993-05-04,1993,1993-05-04,1993
1994,1994-11-18,NULL,NULL,NULL,NULL,1994-11-18,1994,1994-11-18,1994
2001,2001-03-27,NULL,NULL,NULL,NULL,2001-03-27,2001,2001-03-27,2001
2007,2007-08-24,NULL,NULL,NULL,NULL,2007-08-24,2007,2007-08-24,2007
2015,2015-03-25,NULL,NULL,NULL,NULL,2015-03-25,2015,2015-03-25,2015
2019,2019-10-15,NULL,NULL,NULL,NULL,2019-10-15,2019,2019-10-15,2019
1940,1940-02-02,NULL,NULL,1940-02-02,1940,1940-05-22,1940,1940-02-02,1940
1941,1941-01-01,NULL,NULL,1941-01-01,1941,1941-03-11,1941,1941-01-01,1941
1975,1975-01-01,NULL,NULL,1975-01-01,1975,1975-10-05,1975,1975-01-01,1975
1991,1991-01-25,NULL,NULL,1991-01-25,1991,1991-06-15,1991,1991-01-25,1991
2021,2021-01-27,NULL,NULL,2021-01-27,2021,2021-02-18,2021,2021-01-27,2021
2021,2021-06-04,NULL,NULL,2021-06-04,2021,2020-06-04,2020,2021-06-04,2021
2021,2021-09-28,NULL,NULL,2021-09-28,2021,2021-09-28,2021,2021-09-28,2021
AMY 1976,AMY 1976-06-16,NULL,AMY,NULL,NULL,1976-06-16,1976,1976-06-16,1976
ANTHONY 2007,ANTHONY 2007-12-17,NULL,ANTHONY,NULL,NULL,2007-12-17,2007,2007-12-17,2007
BENJAMIN 1992,BENJAMIN 1992-12-01,NULL,BENJAMIN,NULL,NULL,1992-12-01,1992,1992-12-01,1992
BRITTANY 2000,BRITTANY 2000-11-13,NULL,BRITTANY,NULL,NULL,2000-11-13,2000,2000-11-13,2000
CODY 1977,CODY 1977-10-01,NULL,CODY,1977-10-01,1977,1978-08-17,1978,1977-10-01,1977
JENNIFER 1975,JENNIFER 1975-10-16,NULL,JENNIFER,1975-10-16,1975,1976-08-11,1976,1975-10-16,1975
JOHN 1997,JOHN 1997-10-26,NULL,JOHN,NULL,NULL,1997-10-26,1997,1997-10-26,1997
JOHN DOE 1984,JOHN DOE 1984-10-19,NULL,JOHN DOE,NULL,NULL,1984-10-19,1984,1984-10-19,1984
MARJORIE 1948,MARJORIE 1948-03-13,NULL,MARJORIE,1948-03-13,1948,1948-07-20,1948,1948-03-13,1948
MARK 1961,MARK 1961-08-04,NULL,MARK,NULL,NULL,1961-08-04,1961,1961-08-04,1961
MIGUEL 1965,MIGUEL 1965-11-24,NULL,MIGUEL,NULL,NULL,1965-11-24,1965,1965-11-24,1965
SHIRLEY 1940,SHIRLEY 1940-04-24,NULL,SHIRLEY,NULL,NULL,1940-04-24,1940,1940-04-24,1940
1943,1943-10-24,NULL,NULL,NULL,NULL,1943-10-24,1943,1943-10-24,1943
1957,1957-07-04,NULL,NULL,NULL,NULL,1957-07-04,1957,1957-07-04,1957
